mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.03895894686381,0.0949663970702914,0.10972062746683757,0.01300874863992884,0.8,0.0,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.0,0.02880658436213992,0.08888888888888889,0.0392318244170096,0.037029923617047454,613,0.9478672985781991,0.7105538140020898,0.7069943289224953,0.7884718138342613,0.11271899544464282
2.023097197214762,0.04649239563680197,0.11694272359212239,0.009061879512632392,0.8,0.0,0.01,3,100,0.9,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",0.0,0.028397565922920892,0.09944751381215469,0.04261502657835853,0.041825463866496146,583,0.9433962264150944,0.7142857142857143,0.7420634920634921,0.7999151442547668,0.10208825246811987
1.9011443456013997,0.09099578447262693,0.1172492504119873,0.0020353705985888533,0.8,0.0,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.0,0.04809619238476954,0.09944751381215469,0.04918123539897474,0.04060652648373724,520,0.954653937947494,0.7195767195767195,0.7026515151515151,0.7922940575585762,0.1150135171943904
3.7335662047068277,0.1635812156885184,0.13441077868143717,0.007236849444613135,0.8,0.0,0.01,3,200,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.0,0.03146067415730337,0.16260162601626016,0.06468743339118783,0.07041702134509255,350,0.9685230024213075,0.8095238095238095,0.838569880823402,0.872205564256173,0.06913130133066175
3.6847305297851562,0.14749949810101573,0.13530651728312174,0.006599777044262393,0.8,0.0,0.01,3,200,0.9,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.9}",0.0,0.034653465346534656,0.138996138996139,0.05788320144755788,0.05907451307995626,421,0.9685230024213075,0.8076009501187649,0.8401727861771058,0.872098912905726,0.06946670619913066
3.1145993073781333,0.05947459045621808,0.0628657341003418,0.048748689961281406,0.8,0.0,0.01,3,200,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.014760147601476014,0.03233256351039261,0.1484375,0.06517673703728954,0.05930971498312048,343,0.963855421686747,0.8173076923076923,0.8493449781659389,0.8768360307201261,0.06290669134753987
3.632903496424357,0.03829937840514226,0.04992143313090006,0.006029696701843456,0.8,0.0,0.01,3,300,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.0,0.034912718204488775,0.2127659574468085,0.08255955855043243,0.09316653264729119,109,0.9732360097323601,0.918918918918919,0.8906605922551253,0.9276051736354681,0.034266243434177654
3.8565122286478677,0.27827135819060667,0.11145798365275066,0.04569815144965841,0.8,0.0,0.01,3,300,0.9,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",0.0,0.034912718204488775,0.1469387755102041,0.06061716457156429,0.06268061826640371,397,0.9732360097323601,0.9379310344827586,0.8896473265073948,0.9336047902408379,0.03426177931506639
3.4160385131835938,0.2651781502806705,0.14971439043680826,0.02269184466469758,0.8,0.0,0.01,3,300,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.007407407407407408,0.035175879396984924,0.13709677419354838,0.05989335366598023,0.05575570592639756,405,0.970873786407767,0.9577464788732394,0.8937142857142857,0.9407781836650974,0.0337079557228441
1.787297010421753,0.40175656360185114,0.10226058959960938,0.03494667313460595,0.8,0.0,0.01,5,100,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.0,0.03932584269662921,0.18181818181818182,0.07371467483827034,0.07810849992997704,238,0.9852216748768473,0.9497206703910615,0.9655172413793104,0.9668198622157398,0.014522464108122786
2.1606650352478027,0.9866305873893528,0.09545397758483887,0.040585161529799525,0.8,0.0,0.01,5,100,0.9,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.9}",0.0,0.08743169398907104,0.1411764705882353,0.07620272152576878,0.05817941405041201,201,0.9852216748768473,0.9483960948396095,0.964329643296433,0.9659824710042967,0.01507933941620483
3.3909844557444253,1.0707850431748691,0.12761982282002768,0.004796726529110152,0.8,0.0,0.01,5,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.0,0.08312958435207823,0.1299638989169675,0.07103116108968191,0.05374279883235214,277,0.9852216748768473,0.9353507565337001,0.9584352078239609,0.9596692130781695,0.02037840688609349
